gauge,nickel_wound,plain_steel,unit_weight,source
0.0070,0,1,0.00001085,daddario
0.0080,0,1,0.00001418,daddario
0.0090,0,1,0.00001794,daddario
0.0095,0,1,0.00001999,daddario
0.0100,0,1,0.00002215,daddario
0.0105,0,1,0.00002442,daddario
0.0110,0,1,0.00002680,daddario
0.0120,0,1,0.00003190,daddario
0.0130,0,1,0.00003744,daddario
0.0140,0,1,0.00004342,daddario
0.0150,0,1,0.00004984,daddario
0.0160,0,1,0.00005671,daddario
0.0170,0,1,0.00006402,daddario
0.0180,0,1,0.00007177,daddario
0.0190,0,1,0.00007997,daddario
0.0200,0,1,0.00008861,daddario
0.0210,0,1,0.00009769,power_law
0.0220,0,1,0.00010722,daddario
0.0230,0,1,0.00011719,power_law
0.0240,0,1,0.00012760,daddario
0.0250,0,1,0.00013846,power_law
0.0260,0,1,0.00014975,daddario
0.0170,1,0,0.00005524,daddario
0.0180,1,0,0.00006215,daddario
0.0190,1,0,0.00006947,daddario
0.0200,1,0,0.00007495,daddario
0.0210,1,0,0.00008293,daddario
0.0220,1,0,0.00009184,daddario
0.0230,1,0,0.00009980,power_law
0.0240,1,0,0.00010857,daddario
0.0250,1,0,0.00011755,power_law
0.0260,1,0,0.00012671,daddario
0.0270,1,0,0.00013672,power_law
0.0280,1,0,0.00014666,daddario
0.0290,1,0,0.00015730,power_law
0.0300,1,0,0.00017236,daddario
0.0310,1,0,0.00017931,power_law
0.0320,1,0,0.00019347,daddario
0.0330,1,0,0.00020272,power_law
0.0340,1,0,0.00021590,daddario
0.0350,1,0,0.00022754,power_law
0.0360,1,0,0.00023964,daddario
0.0370,1,0,0.00025376,power_law
0.0380,1,0,0.00026471,daddario
0.0390,1,0,0.00027932,daddario
0.0400,1,0,0.00029573,power_law
0.0410,1,0,0.00031042,power_law
0.0420,1,0,0.00032279,daddario
0.0430,1,0,0.00034084,power_law
0.0440,1,0,0.00035182,daddario
0.0450,1,0,0.00037266,power_law
0.0460,1,0,0.00038216,daddario
0.0470,1,0,0.00040586,power_law
0.0480,1,0,0.00041382,daddario
0.0490,1,0,0.00043014,daddario
0.0500,1,0,0.00045828,power_law
0.0510,1,0,0.00047644,power_law
0.0520,1,0,0.00048109,daddario
0.0530,1,0,0.00051381,power_law
0.0540,1,0,0.00053838,daddario
0.0550,1,0,0.00055256,power_law
0.0560,1,0,0.00057598,daddario
0.0570,1,0,0.00059270,power_law
0.0580,1,0,0.00061328,power_law
0.0590,1,0,0.00064191,daddario
0.0600,1,0,0.00066542,daddario
0.0610,1,0,0.00067710,power_law
0.0620,1,0,0.00070697,daddario
0.0630,1,0,0.00072137,power_law
0.0640,1,0,0.00074984,daddario
0.0650,1,0,0.00076701,power_law
0.0660,1,0,0.00079889,daddario
0.0670,1,0,0.00081402,power_law
0.0680,1,0,0.00084614,daddario
0.0690,1,0,0.00086240,power_law
0.0700,1,0,0.00089304,daddario
0.0710,1,0,0.00091216,power_law
0.0720,1,0,0.00093755,power_law
0.0730,1,0,0.00096328,power_law
0.0740,1,0,0.00098869,daddario
0.0750,1,0,0.00101577,power_law
0.0760,1,0,0.00104253,power_law
0.0770,1,0,0.00106962,power_law
0.0780,1,0,0.00109706,power_law
0.0790,1,0,0.00112484,power_law
0.0800,1,0,0.00115011,daddario
